channel_id,creation_date,channel_name,country,subscribers,videos,views
UCGsVaz3QTFdspLqt79jIuPA,2014-01-05T18:24:40Z,Guinxu,ES,864000,240,151802677
UC7cs8q-gJRlGwj4A8OmCmXg,2020-01-08T05:04:24.970712Z,Alex The Analyst,US,676000,278,28889259
UCz0EXCSvMwYKruljsZjCOzw,2020-01-19T02:39:17.055012Z,TodoCode,AR,120000,582,8022832
UCxPD7bsocoAMq8Dj18kmGyQ,2014-07-06T15:43:32Z,MoureDev by Brais Moure,ES,460000,569,21110045
UCDUdeFslCNoM29MAlZOfdWQ,2016-02-10T06:22:25Z,hdeleon.net,MX,164000,1070,16308543
UCRHzElEnj-QzNOL7LoTIqOQ,2019-08-30T03:20:52Z,Maxi Programa,AR,72300,159,3488251
UCCvaRcYdZCZBrBQVnsUBg5Q,2008-04-09T22:10:54Z,Goncy,AR,23800,172,728602
UCNHWpNqiM8yOQcHXtsluD7Q,2018-03-05T10:06:26Z,s4vitar,ES,366000,81,18555047
UC8butISFwT-Wl7EV0hUK0BQ,2014-12-16T21:18:48Z,freeCodeCamp.org,US,8960000,1572,653124002
UC3aj05GEEyzdOqYM5FLSFeg,2021-01-07T01:02:25.644168Z,midulive,ES,195000,538,22605993
UC1emV4A8liRs9p80CY8ElUQ,2020-11-23T20:10:18.404077Z,freeCodeCamp Español,US,232000,80,8091486
UCIh_7EEMiYS2MnzKELuX9cA,2014-10-29T21:20:58Z,Programando con Bel,AR,8130,31,73388
